iter	RMSE
0	2.895752067
1	2.893618879
2	2.891863032
3	2.890790495
4	2.889391277
5	2.887523014
6	2.886581305
7	2.884349641
8	2.883238749
9	2.8806631
10	2.879281179
11	2.877516726
12	2.876264009
13	2.874812429
14	2.872150002
15	2.871173839
16	2.869722162
17	2.866727105
18	2.865494048
19	2.863800257
20	2.863133644
21	2.862370081
22	2.8616923
23	2.860624091
24	2.860603081
25	2.858868035
26	2.858867967
27	2.856682354
28	2.855765776
29	2.853930114
30	2.853097485
31	2.851577978
32	2.851118134
33	2.849847966
34	2.849847777
35	2.849466429
36	2.848918985
37	2.848334271
38	2.847285656
39	2.847031789
40	2.844899039
41	2.843197204
42	2.843086424
43	2.842389645
44	2.841044465
45	2.838921506
46	2.837101446
47	2.836699415
48	2.83470534
49	2.833586578
50	2.833078728
51	2.83263089
52	2.830946878
53	2.830143114
54	2.829052092
55	2.828270637
56	2.828049967
57	2.826576899
58	2.823156873
59	2.821265885
60	2.819115546
61	2.817495392
62	2.814650342
63	2.8139695
64	2.81306254
65	2.8102279
66	2.810227881
67	2.809094312
68	2.808312559
69	2.807636225
70	2.807608363
71	2.807064964
72	2.806583888
73	2.804699807
74	2.803837002
75	2.802971494
76	2.800345262
77	2.7975379
78	2.797330533
79	2.795282804
80	2.794589862
81	2.792508064
82	2.791801472
83	2.79029316
84	2.789449586
85	2.78887806
86	2.786350372
87	2.785330902
88	2.784286989
89	2.782288374
90	2.781686813
91	2.78075048
92	2.778917982
93	2.778256088
94	2.777918984
95	2.777745324
96	2.776821388
97	2.776813486
98	2.776748551
99	2.776385127
100	2.77491848
101	2.773799719
102	2.773135785
103	2.77239014
104	2.771964611
105	2.771873333
106	2.770642771
107	2.769526761
108	2.768001438
109	2.767716533
110	2.767245823
111	2.765053689
112	2.764994232
113	2.762752585
114	2.762050686
115	2.761050313
116	2.760389042
117	2.758460855
118	2.756989672
119	2.756256346
120	2.755956391
121	2.754478189
122	2.752833827
123	2.752415666
124	2.750830526
125	2.748155526
126	2.747913725
127	2.747913704
128	2.747598948
129	2.747258081
130	2.746551478
131	2.744231474
132	2.743539727
133	2.742366905
134	2.740334711
135	2.740213584
136	2.73894886
137	2.738265287
138	2.738016679
139	2.737067525
140	2.736382782
141	2.735792999
142	2.735008243
143	2.734482529
144	2.733567013
145	2.733046356
146	2.732798436
147	2.731279964
148	2.730922336
149	2.729326395
150	2.728972491
151	2.727861063
152	2.726188707
153	2.725953181
154	2.725898529
155	2.724420924
156	2.723828808
157	2.723450424
158	2.722504159
159	2.720549667
160	2.71935941
161	2.71829393
162	2.716466499
163	2.715901059
164	2.713948812
165	2.712386055
166	2.710925342
167	2.710453976
168	2.709626935
169	2.709077569
170	2.706188054
171	2.704080231
172	2.703152086
173	2.701844132
