iter	Passed	Remaining
0	188	187878
1	221	110716
2	254	84687
3	285	71190
4	314	62652
5	350	57987
6	400	56883
7	446	55335
8	480	52859
9	523	51780
10	566	50900
11	601	49488
12	637	48369
13	674	47518
14	712	46814
15	753	46356
16	801	46356
17	867	47327
18	911	47084
19	951	46634
20	990	46172
21	1037	46128
22	1078	45800
23	1118	45489
24	1132	44176
25	1169	43816
26	1182	42625
27	1219	42338
28	1254	41991
29	1295	41882
30	1336	41771
31	1379	41730
32	1403	41122
33	1434	40766
34	1440	39722
35	1476	39543
36	1503	39133
37	1537	38927
38	1566	38600
39	1594	38278
40	1631	38168
41	1669	38091
42	1700	37843
43	1736	37718
44	1773	37628
45	1809	37531
46	1847	37454
47	1882	37341
48	1920	37282
49	1956	37180
50	1991	37057
51	2031	37029
52	2071	37020
53	2105	36884
54	2136	36712
55	2167	36545
56	2180	36081
57	2213	35944
58	2244	35796
59	2276	35663
60	2311	35585
61	2351	35578
62	2396	35643
63	2445	35771
64	2477	35634
65	2509	35508
66	2515	35029
67	2547	34915
68	2586	34903
69	2632	34970
70	2650	34686
71	2674	34471
72	2698	34262
73	2736	34241
74	2774	34213
75	2808	34142
76	2847	34138
77	2885	34104
78	2917	34018
79	2958	34022
80	2997	34014
81	3037	34005
82	3077	33997
83	3117	33994
84	3157	33991
85	3195	33965
86	3237	33970
87	3268	33875
88	3306	33840
89	3345	33823
90	3388	33849
91	3429	33848
92	3474	33884
93	3514	33875
94	3554	33859
95	3591	33820
96	3625	33748
97	3645	33555
98	3664	33351
99	3691	33221
100	3740	33294
101	3779	33272
102	3819	33261
103	3852	33191
104	3887	33135
105	3898	32876
106	3937	32864
107	3977	32850
108	4015	32826
109	4042	32709
110	4084	32715
111	4126	32713
112	4138	32487
113	4178	32477
114	4218	32466
115	4256	32438
116	4288	32366
117	4336	32411
118	4390	32503
119	4439	32555
120	4474	32506
121	4513	32481
122	4546	32417
123	4578	32344
124	4610	32274
125	4644	32219
126	4678	32161
127	4686	31923
128	4725	31909
129	4769	31918
130	4811	31917
131	4851	31901
132	4883	31834
133	4920	31800
134	4968	31833
135	5009	31825
136	5042	31762
137	5079	31726
138	5109	31648
139	5152	31650
140	5202	31692
141	5233	31620
142	5275	31615
143	5311	31573
144	5346	31528
145	5386	31505
146	5430	31510
147	5471	31497
148	5508	31458
149	5540	31397
150	5562	31273
151	5599	31240
152	5667	31373
153	5718	31412
154	5732	31250
155	5768	31210
156	5801	31151
157	5817	31002
158	5849	30938
159	5884	30895
160	5933	30920
161	5969	30876
162	6023	30931
163	6063	30909
164	6094	30843
165	6127	30786
166	6171	30782
167	6218	30795
168	6269	30826
169	6308	30800
170	6353	30799
171	6385	30738
172	6419	30686
173	6453	30635
174	6490	30598
175	6534	30592
176	6566	30531
177	6599	30477
178	6633	30423
179	6663	30356
180	6697	30303
181	6730	30248
182	6771	30230
183	6817	30233
184	6861	30226
185	6903	30212
186	6935	30150
187	6967	30093
188	6999	30034
189	7029	29968
190	7060	29904
191	7091	29841
192	7131	29820
193	7183	29844
194	7238	29880
195	7274	29838
196	7304	29772
197	7334	29706
198	7364	29643
199	7396	29585
200	7450	29616
201	7496	29615
202	7529	29561
203	7559	29497
204	7590	29435
205	7620	29374
206	7655	29328
207	7685	29263
208	7719	29214
209	7754	29169
210	7806	29191
211	7844	29158
212	7875	29098
213	7906	29038
214	7936	28975
215	7967	28920
216	8000	28868
217	8031	28810
218	8068	28775
219	8107	28743
220	8143	28703
221	8200	28738
222	8255	28763
223	8306	28777
